coursePrefix,courseNum,fee,section,credits,prof,title,days,times,building,room,days2,times2,building2,room2
AOM,6932,0,10641,3,"Jonathan Watson,Celina Gomez,Ying Zhang",Special Topics in Agricultural Operations Management: ADV CONTRL ENVIR PLNT,,,,,,,,
AOM,6932,0,10642,VAR,,Special Topics in Agricultural Operations Management: SPECIAL TOPICS,,,,,,,,
BOT,6935,0,11716,1,"Nicoletta Cellinese,Pamela Soltis,Douglas Soltis,Lucas Majure",Special Topics: PHYLOGENETICS SYS SEMINAR,M,3,,,,,,
BOT,6935,0,11717,VAR,Marta Wayne,Special Topics,,,,,,,,
BOT,6935,0,21355,VAR,Francis Putz,Special Topics: TROPICAL CONSERVATION,R,E1,,,,,,
BOT,6935,0,22518,VAR,David Julian,Special Topics: RSRCH Scholarship Seminar,F,8,,,,,,
BOT,6935,0,23510,3,Matthew Gitzendanner,Special Topics: Computational Tools Rsrch Bio,"M,W,F",2,,,,,,
BOT,6935,0,28707,VAR,"Pamela Soltis,Douglas Soltis",Special Topics: Molecular Systematics,,,,,,,,
ENV,6935,0,13402,1,Chang-Yu Wu,Graduate Environmental Engineering Seminar: AIR POLLUTION SEMINAR,W,9,,,,,,
ENV,6935,0,13403,1,David Kaplan,Graduate Environmental Engineering Seminar: WETLANDS SEMINAR,,,,,,,,
ENV,6935,15,13404,1,David Kaplan,Graduate Environmental Engineering Seminar: WETLANDS SEMINAR,,,,,,,,
ENV,6935,15,13405,1,Chang-Yu Wu,Graduate Environmental Engineering Seminar: AIR POLLUTION SEMINAR,,,,,,,,
ENV,6935,0,13432,1,Chang-Yu Wu,Graduate Environmental Engineering Seminar: AIR POLLUTION SEMINAR,,,,,,,,
ENV,6935,0,13433,1,David Kaplan,Graduate Environmental Engineering Seminar: WETLAND SEMINAR,W,5,,,,,,
ENV,6935,0,28239,1,Michael Annable,Graduate Environmental Engineering Seminar,,,,,,,,
ENY,6166,0,12989,3,"Andrea Lucky,Jason Williams",Insect Classification,,,,,,,,
ENY,6166,0,12990,3,"Andrea Lucky,Jason Williams",Insect Classification,,,,,,,,
ENY,6166,0,12991,3,"Andrea Lucky,Jason Williams",Insect Classification,,,,,,,,
ENY,6166,0,13009,3,"Andrea Lucky,Jason Williams",Insect Classification,,,,,,,,
ENY,6166,0,13010,3,"Andrea Lucky,Jason Williams",Insect Classification,,,,,,,,
FOR,6154,85.17,14582,3,Wendell Cropper,Analysis of Forest Ecosystems,,,,,,,,
FOR,6154,0,14583,3,Wendell Cropper,Analysis of Forest Ecosystems,,,,,,,,
FOR,6154,85.17,14584,3,Wendell Cropper,Analysis of Forest Ecosystems,,,,,,,,
FOR,6154,0,14585,3,Wendell Cropper,Analysis of Forest Ecosystems,,,,,,,,
FOR,6934,0,14629,1,Jason Smith,Topics in Forest Resources and Conservation: Take a Hike,,,,,,,,
FOR,6934,0,14630,3,Alison Adams,Topics in Forest Resources and Conservation: Environment and Society,W,4-6,,,,,,
FOR,6934,0,14631,3,Scott Sager,Topics in Forest Resources and Conservation: FIELD OPS MGMT ECOSYS,M,4-9,CSE,E119,,,,
FOR,6934,0,14635,3,Jason Vogel,Topics in Forest Resources and Conservation: FOREST ECO RESILIENCE,,,,,,,,
FOR,6934,0,21771,3,Jason Vogel,Topics in Forest Resources and Conservation: FOREST ECO RESILIENCE,,,,,,,,
FOR,6934,0,26713,3,Mysha Clarke,Topics in Forest Resources and Conservation: Social Sci Res Methods for NR,T,3-4,,,,,,
FOR,6934,0,27217,3,Chelsey Crandall,Topics in Forest Resources and Conservation: Conservation Behavior for Prac,,,,,,,,
FOR,6934,0,27218,3,Chelsey Crandall,Topics in Forest Resources and Conservation: Conservation Behavior for Prac,,,,,,,,
FOR,6934,0,27219,3,Chelsey Crandall,Topics in Forest Resources and Conservation: Conservation Behavior for Prac,,,,,,,,
FOR,6934,0,27927,3,Michael Andreu,Topics in Forest Resources and Conservation: Dendrology,,,,,,,,
HOS,6932,0,14048,3,Gerardo Nunez Villegas,Special Topics: Horticultural Physiology,"M,W,F",5,,,,,,
HOS,6932,0,28594,1,Carlos Vallejos,Special Topics: PROPOSAL PREPARATION,M,7,,,,,,
HOS,6932,0,26688,VAR,,Special Topics: plant communities fl panhandle,,,,,,,,
HOS,6932,0,27671,VAR,Gail Hansen De Chapman,Special Topics: Resident Lscape Des,"M,W",9-10,,,,,,
PHC,6937,0,27210,VAR,Ashby Walker,Special Topics in Public Health: Social Stratification & Health,,,,,,,,
PHC,6937,0,27697,VAR,Ashby Walker,Special Topics in Public Health: Social Stratification & Health,,,,,,,,
PHC,6937,0,18815,3,Deepthi Varma,Special Topics in Public Health: Maternal & Child Epidemiology,M,2-4,,,,,,
PHC,6937,0,18816,1,Robert Leeman,Special Topics in Public Health: Seminar: Alcohol HIV,R,5,,,,,,
PHC,6937,0,26437,3,Huaizhen Qin,Special Topics in Public Health: Population Genetics,M,6-8,,,,,,
PHC,6937,0,18780,VAR,Subharup Guha,Special Topics in Public Health: Analysis of Multivariate Data,M,5,,,W,5-6,,
PHC,6937,0,18335,VAR,John Lednicky,Special Topics in Public Health: VIROLOGY PUBLIC HEALTH,T,3,,,R,3-4,,
PHC,6937,0,21463,VAR,John Lednicky,Special Topics in Public Health: VIROLOGY PUBLIC HEALTH,T,3,,,R,3-4,,
PHC,6937,0,21751,VAR,,Special Topics in Public Health: INDEPENDENT STUDY,,,,,,,,
PHC,6937,0,28045,VAR,John Lednicky,Special Topics in Public Health: VIROLOGY PUBLIC HEALTH,T,3,,,R,3-4,,
SWS,5115,0,22947,3,Samira Daroub,Environmental Nutrient Management,,,,,,,,
SWS,5115,0,22948,3,Samira Daroub,Environmental Nutrient Management,,,,,,,,
SWS,5115,0,22949,3,Samira Daroub,Environmental Nutrient Management,,,,,,,,
SWS,5115,0,22950,3,Samira Daroub,Environmental Nutrient Management,,,,,,,,
SWS,5115,0,27446,3,Samira Daroub,Environmental Nutrient Management,,,,,,,,
SWS,6932,0,20675,1,Mark Clark,Topics in Soils: WETLANDS SEMINAR,,,,,,,,
SWS,6932,0,20676,1,Vimala Nair,Topics in Soils: SCIENTIFIC WRITING,R,2,,,,,,
SWS,6932,0,20677,3,Yang Lin,Topics in Soils: FOREST/SOIL ECO SERV,,,,,,,,
SWS,6932,0,20678,3,Yang Lin,Topics in Soils: FOREST/SOIL ECO SERV,,,,,,,,
SWS,6932,0,20679,3,Yang Lin,Topics in Soils: FOREST/SOIL ECO SERV,,,,,,,,
SWS,6932,0,20680,1,Mark Clark,Topics in Soils: WETLANDS SEMINAR,W,5,,,,,,
SWS,6932,0,20681,1,Mark Clark,Topics in Soils: WETLANDS SEMINAR,,,,,,,,
SWS,6932,0,20706,2,Kanika Inglett,Topics in Soils: MATH FOR ENV PROFESSIONALS,,,,,,,,
SWS,6932,0,20707,2,Kanika Inglett,Topics in Soils: MATH FOR ENV PROFESSIONALS,,,,,,,,
SWS,6932,0,20708,2,Kanika Inglett,Topics in Soils: MATH FOR ENV PROFESSIONALS,,,,,,,,
SWS,6932,0,20712,1,Mark Clark,Topics in Soils: WETLANDS SEMINAR,,,,,,,,
SWS,6932,0,21711,1,Mark Clark,Topics in Soils: WETLANDS SEMINAR,,,,,,,,
SWS,6932,0,28477,1,Vimala Nair,Topics in Soils: SCIENTIFIC WRITING,R,2,,,,,,
VME,6603,0,27155,3,Christopher Martyniuk,Advanced Toxicology,M,2-4,,,,,,
FAS,5203C,0,14855,4,William Patterson,Biology of Fishes,M,6-7,,,R,5,,
FAS,5335C,0,25999,4,Charles Cichra,Applied Fisheries Statistics,"T,R",3-4,,,,,,
SWS,6448,0,20584,3,"Kanika Inglett,Rameshwer Reddy",Biogeochemistry of Wetlands and Aquatic Systems,,,,,,,,
SWS,6448,0,20585,3,"Kanika Inglett,Rameshwer Reddy",Biogeochemistry of Wetlands and Aquatic Systems,,,,,,,,
SWS,6448,0,20586,3,"Kanika Inglett,Rameshwer Reddy",Biogeochemistry of Wetlands and Aquatic Systems,,,,,,,,
SWS,6448,0,20587,3,"Kanika Inglett,Rameshwer Reddy",Biogeochemistry of Wetlands and Aquatic Systems,"T,R",4,,,,,,
VME,6934,0,20261,VAR,"Mansour Zadeh,Andrew Cooper",Topics in Veterinary Medical Sciences: MUCOSAL IMM JRNL CLUB,F,5,,,,,,
VME,6934,0,22060,2,"Thomas Denagamage,Jorge Hernandez,Hannah Norton",Topics in Veterinary Medical Sciences: Sys Rev/Meta Analys Biomed Res,T,6-7,,,,,,
VME,6934,0,22113,VAR,Bonnie Gatson,Topics in Veterinary Medical Sciences: Sem in Vet Anes & Analgesia,M,1-2,,,,,,
VME,6934,0,26698,VAR,Adam Biedrzycki,Topics in Veterinary Medical Sciences: Medical 3D Printing,"M,W,F",3,,,,,,
VME,6934,0,26908,1,John Bowden,Topics in Veterinary Medical Sciences: Intro to Water Analysis,R,4,,,,,,
VME,6934,0,26986,VAR,Fiona Maunsell,Topics in Veterinary Medical Sciences: IDP Repro Seminar,,,,,,,,
VME,6934,0,27074,1,Penny Regier,Topics in Veterinary Medical Sciences: Adv SA Abdominal Surgery,,,,,,,,
VME,6934,0,28328,1,"Rhoel Dinglasan,Julie Moore,Kaci McCoy",Topics in Veterinary Medical Sciences: PLAGUE! Anat/ Pandemc Response,,,,,,,,
VME,6934,0,28017,VAR,,Topics in Veterinary Medical Sciences,,,,,,,,
VME,6934,0,28018,VAR,Jason Byrd,Topics in Veterinary Medical Sciences,,,,,,,,
VME,6934,0,28019,VAR,Terry Spencer,Topics in Veterinary Medical Sciences,,,,,,,,
AGR,5277C,0,10299,3,Gregory Macdonald,Tropical Crop Production,T,7,,,R,6-7,,
AGR,5277C,0,26877,3,Gregory Macdonald,Tropical Crop Production,T,7,,,R,6-7,,
AGR,5511,0,10300,3,Chris Wilson,Crop Ecology,,,,,,,,
AGR,5511,0,10302,3,Chris Wilson,Crop Ecology,,,,,,,,
AGR,5511,0,10303,3,Chris Wilson,Crop Ecology,,,,,,,,
AGR,5511,0,10305,3,Chris Wilson,Crop Ecology,,,,,,,,
AGR,6422C,0,10308,3,Jennifer Timmers,Environmental Crop Nutrition,,,,,,,,
AGR,6422C,0,10309,3,Jennifer Timmers,Environmental Crop Nutrition,,,,,,,,
AGR,6422C,0,10311,3,Jennifer Timmers,Environmental Crop Nutrition,,,,,,,,
AGR,6422C,0,10313,3,Jennifer Timmers,Environmental Crop Nutrition,,,,,,,,
AGR,6932,0,10317,VAR,,Topics in Agronomy,,,,,,,,
AGR,6932,0,22403,VAR,Lyn Gettys,"Topics in Agronomy: Supervised Extension, Agronomy",,,,,,,,
CHM,5224,0,11449,3,Aaron Aponick,Basic Principles for Organic Chemistry,"M,W,F",3,,,R,11-E1,,
CHM,5235,0,11450,3,Sandra Loesgen,Organic Spectroscopy,T,4-5,,,R,4,,
CHM,5275,0,11451,2,Stephen Miller,The Organic Chemistry of Polymers,"T,R",7,FLI,0050,,,,
CHM,6154,0,11454,3,Yong Zeng,Chemical Separations,"M,W,F",5,,,,,,
EES,6208,0,13450,3,Jean-Claude Bonzongo,Principles of Water Chemistry I,,,,,,,,
EES,6208,0,13939,3,Jean-Claude Bonzongo,Principles of Water Chemistry I,,,,,,,,
EES,6208,0,13941,3,Jean-Claude Bonzongo,Principles of Water Chemistry I,,,,,,,,
ENV,6508,0,25612,3,David Kaplan,Wetland Hydrology,T,7,,,R,7-8,,
ENV,6508,0,25615,3,David Kaplan,Wetland Hydrology,,,,,,,,
