coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ABE,4905,,DEPT,VAR,TBA,,,,INDUSTRIAL HYGIENE,"Correll,Melanie J;",,,,
ABE,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,"Leary,James Daniel;",,,,
ABE,4913,,DEPT,3,M W F,9,WEIL,0270,INTEG PROD/PROC DES 2,"Leary,James Daniel;",,,,
ABE,4931,,0143,1,T,2,ROG,0110,PROFESSIONAL ISSUES,"Turner,Allen E;",,,,
ABE,4932,,DEPT,VAR,TBA,,,,SPECIAL TOPICS,"Leary,James Daniel;",,,,
ABE,4932,,4491,3,T,3-4,ROG,0129,INTO TO BIOSENSORS,"McLamore,Eric;",R,3,ROG,0129
ABE,5646,,1042,3,T R,2-3,ROG,0283,BIOL & AG SYS SIMULA,"Jones,James W;",,,,
ABE,5653,,3137,3,T R,7,ROG,0129,RHEOLOGY & MECHANICS,"Teixeira,Arthur A;",T,8-9,ROG,0129
ABE,5653,,3138,3,T R,7,ROG,0129,RHEOLOGY & MECHANICS,"Teixeira,Arthur A;",R,8-9,ROG,0129
ABE,5663,,4857,3,M,5-6,ROG,0211,APP MICROBIAL BIOTECH,"Pullammanappallil,P C;",W,6,ROG,0211
ABE,6005,,3558,3,M W,3-4,ROG,0211,APP CNTRL AUTOMA/RBTS,"Burks,Thomas Francis;",,,,
ABE,6644,,0154,3,T R,4-5,ROG,0106,AGRIC DECISION SYSTEM,"Beck,Howard W;",,,,
ABE,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
ABE,6931,,4915,1,W,7,ROG,0129,SEMINAR,"Turner,Allen E;",,,,
ABE,6933,,4109,3,M W F,2,ROG,0283,CASE STUDY DATA ANALY,"Werner,Hubert;",,,,
ABE,6933,,7942,3,T R,5,ROG,0129,ADV PSTHARV PROC ENG,"Bucklin,Ray A;",T,8-10,ROG,0110
ABE,6933,,DEPT,VAR,TBA,,,,SPECIAL TOPICS,STAFF;,,,,
ABE,6933,,8390,3,M W F,2,ROG,0211,NONLIN.REGR.MDL CHARC,"Overman,Allen R;",,,,
ABE,6933,,9699,3,T,3-4,ROG,0129,ADV. INTRO TO BIOSENS,"McLamore,Eric;",R,3,ROG,0129
ABE,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,STAFF;,,,,
ABE,6971,,9759,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ABE,6986,,0678,3,M W F,7,ROG,0211,AP MATH AG & BIO ENGR,"Overman,Allen R;",,,,
ABE,7979,,0158,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ABE,7980,,0159,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
AEC,3030C,,0160,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",F,4-5,ROL,0306
AEC,3030C,,0161,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",F,4-5,ROL,0310
AEC,3030C,,0162,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",T,7-8,ROL,0306
AEC,3030C,,0163,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",T,7-8,ROL,0310
AEC,3030C,,0164,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",F,2-3,ROL,0306
AEC,3030C,,0165,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",F,2-3,ROL,0310
AEC,3030C,,0166,3,T R,9,TUR,L007,EFFECT ORAL COMMUNICA,"Conner,Nathan W;",M,6-7,ROL,0306
