coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
AEC,3030C,,0148,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,F,5-6,TUR,2303
AEC,3030C,,0151,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,M,6-7,ROL,0306
AEC,3030C,,0152,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,M,6-7,TUR,2303
AEC,3030C,,0153,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,R,7-8,ROL,0306
AEC,3030C,,0154,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,R,7-8,ROL,0115
AEC,3030C,,0155,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,F,7-8,ROL,0306
AEC,3030C,,0156,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,F,7-8,TUR,2303
AEC,3030C,,1440,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,F,3-4,ROL,0306
AEC,3030C,,1530,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,F,3-4,TUR,2303
AEC,3030C,,3702,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,R,2-3,ROL,0306
AEC,3030C,,3703,3,T,5-6,MCCC,0100,EFFECT ORAL COMMUNICA,STAFF;,R,2-3,TUR,2303
AEC,3033C,,DEPT,3,TBA,,,,RESEARCH/BUSINES WRIT,"Perry,Marian Linda;",,,,
AEC,3033C,,1582,3,M W F,2,CSE,E119,RESEARCH/BUSINES WRIT,STAFF;,,,,
AEC,3033C,,DEPT,3,TBA,,,,RESEARCH/BUSINES WRIT,"Raulerson,Rebekah G;",,,,
AEC,3065,,DEPT,3,T,4,ROL,0205,ISSUES IN AG & LIFE,"Raulerson,Rebekah G;",R,3-4,ROL,0205
AEC,3070C,,DEPT,3,M,7,BRT,0107,DIGITAL MEDIA PRODUCT,"Telg,Ricky W;",W,7-9,BRT,0107
AEC,3073,,DEPT,3,M,4,ROL,0205,INTERCUL COMMUNICA,"Suarez,Cecilia E;",W,4-5,ROL,0205
AEC,3209,,DEPT,3,T,2-3,ROL,0205,INSTRUCT/EVENT PLAN,"Raulerson,Rebekah G;",R,2,ROL,0205
AEC,3413,,DEPT,3,M,5,LEI,0142,INTERPERSONAL LEADERS,"Andenoro,Anthony Clyde;",W,5-6,LEI,0142
AEC,3414,,0165,3,M W F,3,FLG,0270,LEADERSHIP DEVELOPMNT,"Sowcik,Matthew J;",,,,
AEC,4031,,DEPT,3,T,7,ROL,0115,COM PROC AGR/LIFE SCI,"Perry,Marian Linda;",R,6-7,ROL,0205
AEC,4035,,DEPT,3,T,5-6,BRT,0107,ADV AG COMMUNICA WRIT,"Lundy,Lisa Katherine;",R,5,BRT,0107
AEC,4052,,DEPT,3,T,4,BRT,0107,COMMUNIC CAMPAIGN STR,"Lundy,Lisa Katherine;",R,3-4,BRT,0107
AEC,4323,,DEPT,3,W,2-3,ROL,0306,DEV & PHIL AG EDUCA,"Roberts II,Thomas G;",TO ARR,ANGE,ROG,0106
AEC,4434,,DEPT,3,M W F,3,ROL,0205,COMM/LDRSHP GRP/TEAMS,"Stedman,Nicole Lamee Perez;",,,,
AEC,4465,,DEPT,3,M,6-7,ROL,0205,GLOBAL LEADERSHIP,"Suarez,Cecilia E;",W,7,ROL,0205
AEC,4504,,DEPT,3,M,2-3,ROL,0306,CURRIC & PROGRAM PLAN,"Barry,Debra Marie-Hope;",TO ARR,ANGE,,
AEC,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,STAFF;,,,,
AEC,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AEC,4915,,DEPT,VAR,TBA,,,,HONORS THESIS RESRCH,STAFF;,,,,
AEC,4932,,DEPT,3,T,3,BRT,0107,DIG COMM & RSRCH METH,"Lundy,Lisa Katherine;",TO ARR,ANGE,,
AEC,4943,,DEPT,VAR,TBA,,,,LDRDSHP DEVELP INTERN,"Stedman,Nicole Lamee Perez;",,,,
AEC,4944,,DEPT,VAR,TBA,,,,COOP EXTEN INTERNSHIP,"Harder,Amy Marie;",,,,
AEC,4948,,DEPT,VAR,TBA,,,,AGRI COMMUNICA INTERN,"Telg,Ricky W;",,,,
AEC,5032,,1F27,3,T,5-6,BRT,0107,AG MEDIA WRITING,"Lundy,Lisa Katherine;",R,5,BRT,0107
AEC,5324,,28D7,3,W,2-3,ROL,0306,PHILOS & DEVEL AG ED,"Roberts II,Thomas G;",,,,
AEC,5454,,19DC,3,M,8-10,ROL,0306,LEADER DEV EXTEN/COMM,"Stedman,Nicole Lamee Perez;",,,,
AEC,5541,,DEPT,3,TBA,,,,COMM & INST TECH AG,"Telg,Ricky W;",,,,
AEC,5541,,DEPT,3,TBA,,,,COMM & INST TECH AG,"Telg,Ricky W;",,,,
AEC,5541,,4970,3,M,2-4,BRT,0107,COMM & INST TECH AG,"Telg,Ricky W;",,,,
AEC,5546,,23A6,3,M,2-3,ROL,0306,PROG PLANNING AG EDU,"Barry,Debra Marie-Hope;",TO ARR,ANGE,UST,0101
AEC,6210,,1F50,3,T,2-4,ROL,0306,DESGN EDUC PRGM IN AG,"Bunch,James Charles;",,,,
AEC,6211,,DEPT,3,TBA,,,,DEL ED PRGMS AG SET,"Roberts II,Thomas G;",,,,
AEC,6211,,DEPT,3,TBA,,,,DEL ED PRGMS AG SET,"Roberts II,Thomas G;",,,,
AEC,6212,,DEPT,3,TBA,,,,TEACHER EDUC IN AGRI,"Myers,Brian E;",,,,
AEC,6300,,1061,3,T,5-7,ROL,0306,METH OF PLAN CHANGE,"Monaghan,Paul F;",,,,
